feature,n_septic,n_control,mean_septic,mean_control,hedges_g,univariate_auc,welch_t,p_welch,p_mannwhitney,q_welch,q_mannwhitney,significant,abs_g
hosp_adm_time,1253,12981,-72.58450109538074,-45.0325143847233,-0.2032166667327893,0.5091806472877389,-5.318054962732563,1.2216389329241665e-07,0.28077666149563585,3.2412839430004096e-07,0.31420245453083057,True,0.2032166667327893
HR_std6,1253,12980,5.607774803938771,5.119822951779481,0.20147536988209158,0.5532668590759681,6.045387022339913,1.8960405966348425e-09,4.451783496548185e-10,5.619796002638408e-09,1.1532572994994904e-09,True,0.20147536988209158
Glucose_hours_since,1187,12766,5.187162945751593,5.800813624399262,-0.20106344486336739,0.44160375053734374,-6.2632583673374995,5.020188998774052e-10,2.6234222808486535e-11,1.5786550112988526e-09,7.192549419993391e-11,True,0.20106344486336739
log_iculos,1253,12981,2.8784421931622224,2.7996255148266176,0.199615192996347,0.5169012750110005,3.4358258370358934,0.0006094857162799042,0.04779315062791578,0.0010838962197626404,0.06166253551601683,True,0.199615192996347
Creatinine_std24,797,10251,0.09210624466505656,0.06393253875972169,0.1961059946042676,0.6087629606047554,5.139282070685348,3.373300727173614e-07,5.006841414169741e-25,8.40769650939484e-07,3.2945016505236895e-24,True,0.1961059946042676
Fibrinogen_n_obs,1253,12981,0.3417689919832972,0.17456725472767318,0.19498330538953318,0.5345490520770334,4.724401903309679,2.5470541261650553e-06,1.99020397743386e-12,5.739594571974679e-06,5.952519168870363e-12,True,0.19498330538953318
Phosphate_dev,1121,10574,1.2119377858061793,1.4220817109630004,-0.19417119985457168,0.4260284386306304,-5.782299602262487,9.173397346142303e-09,3.4193125220739713e-16,2.6017652817938084e-08,1.3392307378123054e-15,True,0.19417119985457168
bun_creatinine,1171,12736,21.803047418390758,19.905504977386727,0.19043005296562437,0.5441046902960576,5.256327410877328,1.712963809815586e-07,5.641506249549361e-07,4.368721654490913e-07,1.2210891816458816e-06,True,0.19043005296562437
SaO2_n_obs,1253,12981,1.632220042160365,1.1803955137228865,0.18826833668211138,0.5179372295182726,3.8923227994342366,0.00010423730308386725,0.01700246631803325,0.00020055013283387324,0.023803452845246553,True,0.18826833668211138
Hgb_hours_since,1162,12718,6.394240222165999,6.945696047403974,-0.18793454205740664,0.46508502727915685,-5.0237668057574565,5.775167377334011e-07,7.930490395878624e-05,1.4074296793651034e-06,0.00014180061631761235,True,0.18793454205740664
Hgb_locf,1162,12718,10.518291595265294,10.82317255620856,-0.18512881545019103,0.4397166429517409,-5.858937763141771,5.8305265151022706e-09,9.503770447334344e-12,1.6680375856249104e-08,2.71890476275913e-11,True,0.18512881545019103
Resp_dev,1252,12966,1.9535126110628849,1.6303645787357408,0.1825045771419563,0.5429024805105908,5.307778880554517,1.2857094626479963e-07,5.123897412006064e-07,3.33069616701725e-07,1.1163988400993346e-06,True,0.1825045771419563
Temp_obs_rate,1253,12981,0.3164410337393974,0.3634934574823484,-0.18236185103431352,0.49170145106793384,-7.859473948698642,6.740233504294752e-15,0.331186651582261,2.6717311119433412e-14,0.3655248059083765,True,0.18236185103431352
unit_micu,1253,12981,0.3383878691141261,0.258454664509668,0.1812267263790064,0.539966602302229,5.7450239811644,1.1158274240653137e-08,9.438268774038244e-10,3.111078156927866e-08,2.407124361750839e-09,True,0.1812267263790064
Glucose_obs_rate,1253,12981,0.13045291508122808,0.15801481473877335,-0.17943300037164697,0.4606684962176594,-7.1373452575791685,1.4254997899143857e-12,4.113374307422613e-06,5.042897106256268e-12,8.3537046119879e-06,True,0.17943300037164697
age_shock_index,1168,12878,47.46764865395141,44.766954451470774,0.1788486451447914,0.5488373370109797,5.7335512501609625,1.2071363722814877e-08,3.094561837443287e-08,3.337377029248819e-08,7.16979467971015e-08,True,0.1788486451447914
hgb_hct_ratio,1162,12718,0.33783451766545103,0.34067259453099974,-0.17859560769286412,0.444228016236762,-5.9499649535963,3.3874213592944734e-09,2.902684819855984e-10,9.862492276175945e-09,7.701478272037248e-10,True,0.17859560769286412
Magnesium_dev,1173,12109,0.6601821506305241,0.7485995548870257,-0.1780931127403795,0.4293136364298796,-5.3090605288530375,1.2856649772386148e-07,1.1734197884404207e-15,3.33069616701725e-07,4.386989890873846e-15,True,0.1780931127403795
